"Key"	"English"	"Japanese"	"French"	"Spanish"	"German"	"Italian"	"Korean"	"ChineseTraditional"	"BrazilianPortuguese"
"move_name_0219"	"Quick Attack"	"でんこうせっか"	"Vive-Attaque"	"Ataque Rápido"	"Ruckzuckhieb"	"Attacco Rapido"	"전광석화"	"電光一閃"	"Ataque Rápido"
"move_name_0220"	"Scratch"	"ひっかく"	"Griffe"	"Arañazo"	"Kratzer"	"Graffio"	"할퀴기"	"抓"	"Arranhão"
"move_name_0221"	"Tackle"	"たいあたり"	"Charge"	"Placaje"	"Tackle"	"Azione"	"몸통박치기"	"撞擊"	"Investida"
"move_name_0222"	"Pound"	"はたく"	"Écras’Face"	"Destructor"	"Pfund"	"Botta"	"막치기"	"拍擊"	"Pancada"
"move_name_0223"	"Cut"	"いあいぎり"	"Coupe"	"Corte"	"Zerschneider"	"Taglio"	"풀베기"	"居合斬"	"Cortar"
"move_name_0224"	"Poison Jab"	"どくづき"	"Direct Toxik"	"Puya Nociva"	"Gifthieb"	"Velenpuntura"	"독찌르기"	"毒擊"	"Golpe Envenenado"
"move_name_0225"	"Acid"	"ようかいえき"	"Acide"	"Ácido"	"Säure"	"Acido"	"용해액"	"溶解液"	"Ácido"
"move_name_0226"	"Psycho Cut"	"サイコカッター"	"Coupe Psycho"	"Psicocorte"	"Psychoklinge"	"Psicotaglio"	"사이코커터"	"精神利刃"	"Corte Psíquico"
"move_name_0227"	"Rock Throw"	"いわおとし"	"Jet-Pierres"	"Lanzarrocas"	"Steinwurf"	"Sassata"	"돌떨구기"	"落石"	"Lançamento de Rocha"
"move_name_0228"	"Metal Claw"	"メタルクロー"	"Griffe Acier"	"Garra Metal"	"Metallklaue"	"Ferrartigli"	"메탈크로우"	"金屬爪"	"Garra de Metal"
"move_name_0229"	"Bullet Punch"	"バレットパンチ"	"Pisto-Poing"	"Puño Bala"	"Patronenhieb"	"Pugnoscarica"	"불릿펀치"	"子彈拳"	"Soco Projétil"
"move_name_0230"	"Water Gun"	"みずでっぽう"	"Pistolet à O"	"Pistola Agua"	"Aquaknarre"	"Pistolacqua"	"물대포"	"水槍"	"Revólver d'Água"
"move_name_0231"	"Splash"	"はねる"	"Trempette"	"Salpicadura"	"Platscher"	"Splash"	"튀어오르기"	"躍起"	"Borrifada"
"move_name_0232"	"Water Gun"	"みずでっぽう"	"Pistolet à O"	"Pistola Agua"	"Aquaknarre"	"Pistolacqua"	"물대포"	"水槍"	"Revólver d'Água"
"move_name_0233"	"Mud-Slap"	"どろかけ"	"Coud’Boue"	"Bofetón Lodo"	"Lehmschelle"	"Fangosberla"	"진흙뿌리기"	"擲泥"	"Tapa de Lama"
"move_name_0234"	"Zen Headbutt"	"しねんのずつき"	"Psykoud’Boul"	"Cabezazo Zen"	"Zen-Kopfstoß"	"Cozzata Zen"	"사념의박치기"	"意念頭錘"	"Cabeçada Zen"
"move_name_0235"	"Confusion"	"ねんりき"	"Choc Mental"	"Confusión"	"Konfusion"	"Confusione"	"염동력"	"念力"	"Confusão"
"move_name_0236"	"Poison Sting"	"どくばり"	"Dard-Venin"	"Picotazo Veneno"	"Giftstachel"	"Velenospina"	"독침"	"毒針"	"Ferrão Venenoso"
"move_name_0237"	"Bubble"	"あわ"	"Écume"	"Burbuja"	"Blubber"	"Bolla"	"거품"	"泡沫"	"Bolha"
"move_name_0238"	"Feint Attack"	"だましうち"	"Feinte"	"Finta"	"Finte"	"Finta"	"속여때리기"	"出奇一擊"	"Ataque Dissimulado"
"move_name_0239"	"Steel Wing"	"はがねのつばさ"	"Aile d’Acier"	"Ala de Acero"	"Stahlflügel"	"Alacciaio"	"강철날개"	"鋼翼"	"Asa de Aço"
"move_name_0240"	"Fire Fang"	"ほのおのキバ"	"Crocs Feu"	"Colmillo Ígneo"	"Feuerzahn"	"Rogodenti"	"불꽃엄니"	"火焰牙"	"Presas de Fogo"
"move_name_0241"	"Rock Smash"	"いわくだき"	"Éclate-Roc"	"Golpe Roca"	"Zertrümmerer"	"Spaccaroccia"	"바위깨기"	"碎岩"	"Esmagamento de Pedras"
"move_name_0242"	"Transform"	"へんしん"	"Morphing"	"Transformación"	"Wandler"	"Trasformazione"	"변신"	"變身"	"Transformação"
"move_name_0243"	"Counter"	"カウンター"	"Riposte"	"Contraataque"	"Konter"	"Contrattacco"	"카운터"	"雙倍奉還"	"Contra-atacar"
"move_name_0244"	"Powder Snow"	"こなゆき"	"Poudreuse"	"Nieve Polvo"	"Pulverschnee"	"Polneve"	"눈싸라기"	"細雪"	"Neve em Pó"
"move_name_0245"	"Close Combat"	"インファイト"	"Close Combat"	"A Bocajarro"	"Nahkampf"	"Zuffa"	"인파이트"	"近身戰"	"Corpo-a-corpo"
"move_name_0246"	"Dynamic Punch"	"ばくれつパンチ"	"Dynamopoing"	"Puño Dinámico"	"Wuchtschlag"	"Dinamipugno"	"폭발펀치"	"爆裂拳"	"Soco Dinâmico"
"move_name_0247"	"Focus Blast"	"きあいだま"	"Exploforce"	"Onda Certera"	"Fokusstoß"	"Focalcolpo"	"기합구슬"	"真氣彈"	"Explosão Focalizada"
"move_name_0248"	"Aurora Beam"	"オーロラビーム"	"Onde Boréale"	"Rayo Aurora"	"Aurorastrahl"	"Raggiaurora"	"오로라빔"	"極光束"	"Raio Aurora"
"move_name_0249"	"Charge Beam"	"チャージビーム"	"Rayon Chargé"	"Rayo Carga"	"Ladestrahl"	"Raggioscossa"	"차지빔"	"充電光束"	"Carga de Raio"
"move_name_0250"	"Volt Switch"	"ボルトチェンジ"	"Change Éclair"	"Voltiocambio"	"Voltwechsel"	"Invertivolt"	"볼트체인지"	"伏特替換"	"Troca Elétrica"
"move_name_0251"	"Wild Charge"	"ワイルドボルト"	"Éclair Fou"	"Voltio Cruel"	"Stromstoß"	"Sprizzalampo"	"와일드볼트"	"瘋狂伏特"	"Ataque Selvagem"
"move_name_0252"	"Zap Cannon"	"でんじほう"	"Élecanon"	"Electrocañón"	"Blitzkanone"	"Falcecannone"	"전자포"	"電磁炮"	"Canhão Zap"
"move_name_0253"	"Dragon Tail"	"ドラゴンテール"	"Draco-Queue"	"Cola Dragón"	"Drachenrute"	"Codadrago"	"드래곤테일"	"龍尾"	"Cauda do Dragão"
"move_name_0254"	"Avalanche"	"ゆきなだれ"	"Avalanche"	"Alud"	"Lawine"	"Slavina"	"눈사태"	"雪崩"	"Avalanche"
"move_name_0255"	"Air Slash"	"エアスラッシュ"	"Lame d’Air"	"Tajo Aéreo"	"Luftschnitt"	"Eterelama"	"에어슬래시"	"空氣斬"	"Golpe de Ar"
"move_name_0256"	"Brave Bird"	"ブレイブバード"	"Rapace"	"Pájaro Osado"	"Sturzflug"	"Baldeali"	"브레이브버드"	"勇鳥猛攻"	"Pássaro Bravo"
"move_name_0257"	"Sky Attack"	"ゴッドバード"	"Piqué"	"Ataque Aéreo"	"Himmelsfeger"	"Aeroattacco"	"불새"	"神鳥猛擊"	"Ataque do Céu"
"move_name_0258"	"Sand Tomb"	"すなじごく"	"Tourbi-Sable"	"Bucle Arena"	"Sandgrab"	"Sabbiotomba"	"모래지옥"	"流沙地獄"	"Fosso de Areia"
"move_name_0259"	"Rock Blast"	"ロックブラスト"	"Boule Roc"	"Pedrada"	"Felswurf"	"Cadutamassi"	"락블레스트"	"岩石爆擊"	"Explosão de Rocha"
"move_name_0260"	"Infestation"	"まとわりつく"	"Harcèlement"	"Acoso"	"Plage"	"Assillo"	"엉겨붙기"	"死纏爛打"	"Infestação"
"move_name_0261"	"Struggle Bug"	"むしのていこう"	"Survinsecte"	"Estoicismo"	"Käfertrutz"	"Entomoblocco"	"벌레의저항"	"蟲之抵抗"	"Ira de Inseto"
"move_name_0262"	"Silver Wind"	"ぎんいろのかぜ"	"Vent Argenté"	"Viento Plata"	"Silberhauch"	"Ventargenteo"	"은빛바람"	"銀色旋風"	"Vento Prateado"
"move_name_0263"	"Astonish"	"おどろかす"	"Étonnement"	"Impresionar"	"Erstauner"	"Sgomento"	"놀래키기"	"驚嚇"	"Abismar"
"move_name_0264"	"Hex"	"たたりめ"	"Châtiment"	"Infortunio"	"Bürde"	"Sciagura"	"병상첨병"	"禍不單行"	"Feitiço"
"move_name_0265"	"Night Shade"	"ナイトヘッド"	"Ombre Nocturne"	"Tinieblas"	"Nachtnebel"	"Ombra Notturna"	"나이트헤드"	"黑夜魔影"	"Sombra Noturna"
"move_name_0266"	"Iron Tail"	"アイアンテール"	"Queue de Fer"	"Cola Férrea"	"Eisenschweif"	"Codacciaio"	"아이언테일"	"鐵尾"	"Cauda de Ferro"
"move_name_0267"	"Gyro Ball"	"ジャイロボール"	"Gyroballe"	"Giro Bola"	"Gyroball"	"Vortexpalla"	"자이로볼"	"陀螺球"	"Girobola"
"move_name_0268"	"Heavy Slam"	"ヘビーボンバー"	"Tacle Lourd"	"Cuerpo Pesado"	"Rammboss"	"Pesobomba"	"헤비봄버"	"重磅衝撞"	"Golpe Pesado"
"move_name_0269"	"Fire Spin"	"ほのおのうず"	"Danse Flamme"	"Giro Fuego"	"Feuerwirbel"	"Turbofuoco"	"회오리불꽃"	"火焰旋渦"	"Chama Furacão"
"move_name_0270"	"Overheat"	"オーバーヒート"	"Surchauffe"	"Sofoco"	"Hitzekoller"	"Vampata"	"오버히트"	"過熱"	"Superaquecimento"
"move_name_0271"	"Bullet Seed"	"タネマシンガン"	"Balle Graine"	"Recurrente"	"Kugelsaat"	"Semitraglia"	"기관총"	"種子機關槍"	"Projétil de Semente"
"move_name_0272"	"Grass Knot"	"くさむすび"	"Nœud Herbe"	"Hierba Lazo"	"Strauchler"	"Laccioerboso"	"풀묶기"	"打草結"	"Nó de Grama"
"move_name_0273"	"Energy Ball"	"エナジーボール"	"Éco-Sphère"	"Energibola"	"Energieball"	"Energipalla"	"에너지볼"	"能量球"	"Bola de Energia"
"move_name_0274"	"Extrasensory"	"じんつうりき"	"Extrasenseur"	"Paranormal"	"Sondersensor"	"Extrasenso"	"신통력"	"神通力"	"Extrassensorial"
"move_name_0275"	"Future Sight"	"みらいよち"	"Prescience"	"Premonición"	"Seher"	"Divinazione"	"미래예지"	"預知未來"	"Visão do Futuro"
"move_name_0276"	"Mirror Coat"	"ミラーコート"	"Voile Miroir"	"Manto Espejo"	"Spiegelcape"	"Specchiovelo"	"미러코트"	"鏡面反射"	"Casaco Espelhado"
"move_name_0277"	"Outrage"	"げきりん"	"Colère"	"Enfado"	"Wutanfall"	"Oltraggio"	"역린"	"逆麟"	"Ultraje"
"move_name_0278"	"Snarl"	"バークアウト"	"Aboiement"	"Alarido"	"Standpauke"	"Urlorabbia"	"바크아웃"	"大聲咆哮"	"Rosnado"
"move_name_0279"	"Crunch"	"かみくだく"	"Mâchouille"	"Triturar"	"Knirscher"	"Sgranocchio"	"깨물어부수기"	"咬碎"	"Mastigada"
"move_name_0280"	"Foul Play"	"イカサマ"	"Tricherie"	"Juego Sucio"	"Schmarotzer"	"Ripicca"	"속임수"	"欺詐"	"Jogo Sujo"
"move_name_0281"	"Hidden Power"	"めざめるパワー"	"Puissance Cachée"	"Poder Oculto"	"Kraftreserve"	"Introforza"	"잠재파워"	"覺醒力量"	"Poder Oculto"
"move_name_0287"	"Yawn"	"あくび"	"Bâillement"	"Bostezo"	"Gähner"	"Sbadiglio"	"하품"	"哈欠"	"Bocejo"
"move_name_0282"	"Take Down"	"とっしん"	"Bélier"	"Derribo"	"Bodycheck"	"Riduttore"	"돌진"	"猛撞"	"Desmantelar"
"move_name_0285"	"Draco Meteor"	"りゅうせいぐん"	"Draco Météore"	"Cometa Draco"	"Draco Meteor"	"Dragobolide"	"용성군"	"流星群"	"Meteoro do Dragão"
"move_name_0283"	"Waterfall"	"たきのぼり"	"Cascade"	"Cascada"	"Kaskade"	"Cascata"	"폭포오르기"	"攀瀑"	"Cachoeira"
"move_name_0284"	"Surf"	"なみのり"	"Surf"	"Surf"	"Surfer"	"Surf"	"파도타기"	"衝浪"	"Surfar"
"move_name_0288"	"Psycho Boost"	"サイコブースト"	"Psycho Boost"	"Psicoataque"	"Psyschub"	"Psicoslancio"	"사이코부스트"	"精神突進"	"Impulso Psíquico"
"move_name_0286"	"Doom Desire"	"はめつのねがい"	"Carnareket"	"Deseo Oculto"	"Kismetwunsch"	"Obbliderio"	"파멸의소원"	"破滅之願"	"Desejo Cruel"
"move_name_0290"	"Precipice Blades"	"だんがいのつるぎ"	"Lame Pangéenne"	"Filo del Abismo"	"Abgrundsklinge"	"Spade Telluriche"	"단애의칼"	"斷崖之劍"	"Lâmina Abissal"
"move_name_0289"	"Origin Pulse"	"こんげんのはどう"	"Onde Originelle"	"Pulso Primigenio"	"Ursprungswoge"	"Primopulsar"	"근원의파동"	"根源波動"	"Pulso Original"
"move_name_0291"	"Present"	"プレゼント"	"Cadeau"	"Presente"	"Geschenk"	"Regalino"	"프레젠트"	"禮物"	"Presente"
